INDEX_DATE,ITEM_ID,ITEM_DESC,INDEX_ALGORITHM,STRATUM_IND,ITEM_INDEX,ALL_GM_INDEX,GM_RA_INDEX,COICOP_WEIGHT,ITEM_WEIGHT,CPIH_COICOP_WEIGHT
201802,520140,NECKLACE FASHION APX 16/20 INS,2,1,106.234,103.103,103.103,0.9,0.33,0.72
201802,410518,CARPENTER HOURLY RATE,2,1,100.107,100.09,100.09,0.42,1.98,0.21
201802,510411,CHILDS PANTS 1PR 18MTHS-13YRS,1,1,98.481,100.133,98.481,0.52,0.25,0.42
201802,510349,GIRLS LEGGINGS 5-13 YEARS,2,1,100.019,98.12,98.12,0.52,0.35,0.42
201802,220324,CINEMA POPCORN,1,1,100,100,100,0.86,0.85,0.69
201802,440132,MEN'S CLOTHING HIRE- SEE HELP,2,1,99.811,99.772,99.772,0.17,0.13,0.17
201802,310401,WHISKY-70 CL BOTTLE,1,1,102.601,102.693,102.601,2.04,1.82,1.7
201802,220122,RESTAURANT - SWEET COURSE,1,1,100.21,100.19,100.21,2.58,2.7,2.07
201802,310217,LAGER 12-24 BOTTLE (250-300ML),1,1,95.523,95.537,95.523,1,0.8,0.8
201802,520230,CONDOMS PACK OF 3-14,2,1,98.888,98.725,98.725,0.48,0.45,0.48
201802,630435,BOOK - FICTION - HARD COVER,2,2,95.514,90.161,90.161,0.32,0.12,0.24
201802,211106,FROZEN PRAWNS PER KG,1,1,101.189,101.386,101.189,0.96,0.48,0.72
201802,510346,CHILDS JUMPER,2,1,106.379,103.149,103.149,1.04,0.45,0.84
201802,510120,MEN'S JUMPER OR SWEATSHIRT,2,1,101.576,97.135,97.135,1.04,0.54,0.84
201802,320115,CIGARETTES 15,1,1,100.377,100.362,100.377,6.82,6.65,5.58
201802,620315,CAR PARK CHARGES,2,1,100.539,100.469,100.469,0.52,0.8,0.4
201802,310309,SPIRIT BASED DRINK 275ML,1,1,100.143,100.158,100.143,0.86,0.38,0.69
201802,610112,MOTORCYCLES,1,0,100.186,100.218,100.218,1.5,0.5,1
201802,430359,ELECTRIC COOLING FAN -SEASONAL,2,1,103.634,103.634,103.634,0.24,0.35,0.18
201802,440224,DRIVING TEST FEES,1,0,100,100,100,0.26,0.19,0.2
201802,210320,WHOLE SPONGE CAKE NOT FROZEN,1,1,94.596,95.228,94.596,0.75,0.9,0.6
201802,430132,MATTRESS- 3FT/90CM,2,1,105.332,103.608,103.608,0.9,1.4,0.7
201802,310219,STOUT - 4 CAN PACK,1,1,98.69,98.759,98.69,0.1,0.1,0.08
201802,211101,FRESH WHITE FISH FILLETS KG,1,1,98.485,98.575,98.485,0.36,0.6,0.27
201802,440227,FUNERAL-CREMATION,2,2,99.743,99.698,99.698,2.4,0.38,2
201802,510131,MENS CASUAL SHIRT,2,1,104.332,100.655,100.655,0.52,0.45,0.42
201802,410112,IMPUTED RENTS - WALES,1,0,100.056,100.056,100.056,0,0,6.76
201802,430355,VACUUM CLEANER,2,1,104.871,102.995,102.995,1.84,0.91,1.38
201802,212718,PEARS-DESSERT-PER KG,1,1,99.525,99.569,99.72,0.27,0.28,0.24
201802,510254,WOMENS SPORTSWEAR SHORTS,2,1,103.771,101.957,101.957,0.52,0.32,0.42
201802,211407,MARGARINE/LOW FAT SPREAD-500G,1,1,94.38,95.136,94.38,0.68,0.56,0.68
201802,630371,INTERCHANGEABLE LENS DIGI CAM,2,0,100.845,100.799,100.799,0.66,0.2,0.33
201802,630334,INTERNET COMPUTER GAMES,1,0,105.731,104.856,104.856,1.05,0.2,0.85
201802,440105,DRIVING LESSON 1 HOUR,1,1,100.347,100.353,100.347,0.78,0.65,0.6
201802,212734,RASPBERRIES PUNNET OR PER KG,1,1,105.793,103.578,103.607,0.45,0.42,0.4
201802,640303,FOREIGN HOLIDAYS-INSURANCE,2,0,100,100,100,0.28,0.94,0.21
201802,440122,HOME DELIVERY CHARGES,2,0,100,100,100,0.96,0.13,0.8
201802,220121,RESTAURANT CUP OF COFFEE,1,1,100.132,100.129,100.132,0.86,1.2,0.69
201802,440118,PC REPAIR,2,1,99.82,99.796,99.796,1,0.26,1
201802,630412,PERIODICALS,1,0,100.792,100.792,100.792,1.28,1.26,0.96
201802,520301,MAN'S HAIRCUT,2,1,100.223,100.19,100.19,1.54,1.6,1.32
201802,640212,THEATRE ADULT EVES-FRONT STLLS,2,1,111.166,107.184,107.184,2.2,1.12,1.76
201802,640307,FOREIGN HOLIDAYS-CRUISES,2,0,100.589,100.53,100.53,3.9,5.17,3.1
201802,220322,BURGER IN BUN- TAKEAWAY,1,1,100.45,100.601,100.45,1.72,1.36,1.38
201802,212928,FROZ VEG BURGER/GRILL 180-454G,1,1,99.424,99.277,99.47,0.39,0.55,0.3
201802,630228,PRE-RECORDED DVD (FILM),2,2,101.291,99.05,99.05,0.8,0.38,0.6
201802,440246,PET INSURANCE,2,0,100,100,100,0.42,0.76,0.42
201802,211027,H K LIVER PER KG STATE TYPE,1,1,103.495,102.362,103.495,0.2,0.06,0.16
201802,440126,WEEKLY NANNY FEES,2,1,100,100,100,6.32,2.08,4.74
